Address,AmountToAirdrop,AmountEarned,AmountClaimed,AmountPendingClaim
0x258d77ad7f27185bd8f7e3b024cd075a9fa576b0,14498.178992333374,17243.098992333376,2744.92,0
0xac1513a6c4c3e74cb0c1f77c8cbbbf22a2400e33,758200.6916466018,1054554.2316466018,182549.13,113804.41
0x5f4144183d8d935781c19f18d27a226df242f5f7,11255.03979390131,15213.779793901309,3958.74,0
0x3ba3e60875becf48efc6ef3e9e3d05f102ec329a,499889.29359388485,843928.2735938849,344038.98,0
0x2357dcaed3a0672db1047f9177abedd289e2f7be,408.38702906854576,408.4270290685458,0,0.04
0xdbab46ad578f318a658653b6eb88fb554ca469bc,38626.2084876698,63920.9284876698,25294.72,0
0xc7d35c4c06d54bee556228032e40e9501a6bee81,30205.790443216967,45234.88044321696,15029.09,0
0xd03a6d7727be80d477c0362c755eaec86ceb1452,11512.39932198001,14535.349321980011,3022.9500000000003,0
0x81937e81032b5aaeef742b17a20b5d249f85c7e7,241.11641525814906,303.82641525814904,62.71,0
0xf0f12e58c3eb5ce9f75060b4b8e294a11f081fa7,9149.040327945404,15316.370327945404,6167.33,0
0x93cf0a22a26895650a8aae960bf85a01ec6a551c,558.4132840115961,558.4132840115961,0,0
0x61505ce01302e64c4b72094ce1c03770bd3b0a97,240996.1728910786,369695.7928910786,0,128699.62000000001
0x63f660dd40436394377452613c165c51cdbd4de6,179.3256109442958,179.3256109442958,0,0
0x01506ac9b32feb18b884cf544806a29328ae1f6d,34727.70304120154,47590.333041201535,12862.630000000001,0
0xbf331a476e2e31f8fe0aac6a15db0e873a2249b7,909.9624656718823,1541.9424656718822,568.44,63.54
0xcac2edcd082628ba3ba31b3b74537792550319e6,3524.3695184695493,5487.059518469549,1962.6899999999998,0
0xf3fdf55d712fac26222c2ec7a92d7587092bd301,259.8294649021102,406.8294649021102,0,147
0xf1baa70d16e2d0aeb905ccc27a6bca108c04be98,8481.423779128809,17076.48377912881,8595.06,0
0x12fe8ececabd64640578c01c7bb9e7404028c10f,998.1068574222329,1550.876857422233,0,552.77
0x1bc7998b9f091ff13792ef1aff11c8a4392971d2,2599.7091550803975,5689.469155080397,3089.76,0
0x0e6c5c610739ddf254147a38f811ea935f91e10f,10464.025517432754,16456.285517432752,5992.26,0
0xcfc579300d3e8016c70147a37c48cc6467daee98,19451.06727499132,30681.077274991316,11230.01,0
0x1a1608d260d0044f91b0d1721deb14ad6c8bac0f,32914.36276937304,49393.08276937304,16478.72,0
0x4477a7912bd5ee330933a1ecea2dd3243cb7dfa5,8521.324650285329,12323.78465028533,0,3802.46
0xa78d59f05acf567e60f70b8bdae5c88825c5b3c1,19.113355824751565,36.12335582475157,17.01,0
0x2c030eff44c19ebeb7b400507718f7021b09119a,45516.03404701487,65552.20404701488,16696.81,3339.36
0x5e225490e47249f364fa20e68febddb3f74b297f,716.8042351418659,1111.604235141866,394.8,0
0xa7f56859d8a2cf82782c6a0e4cfe0680ce0b3c58,379.6845978458413,501.10459784584134,121.42,0
0x05b0e0b39309bd0ffe8700cd91dee76ebb1394ee,146.28577503913982,238.9257750391398,92.64,0
0x06a54385f41162ce11e52a807ab746f05e0cbf86,98.88256543961187,117.87256543961186,6.31,12.68
0x8f0d4cd6f0dc60e315188ccc1c42f266e8de86ae,33211.47749999313,56113.86749999313,22902.39,0
0x555f9daad28487cee43cd226b9a2f33d57c98964,5385.904204631021,6679.64420463102,1293.7400000000002,0
0x10331e666e60541bb6bb452ead8a3f4b578dff2b,11172.067674627171,14038.66767462717,0,2866.6
0x8c3de974d92d0bf15387eff82d68bf7223fcd6f4,64192.42333412179,77198.24333412178,0,13005.82
0xce8c168d8a69da67e7f479412ce9ce127ab66312,85.88479541750823,85.88479541750823,0,0
0x22eda3bf78c584894ca2645616e9620527c09016,704.3701999648919,704.3701999648919,0,0
0xb56d81a60336411e6c02bfffa66bdee39b13f024,33048.82728784632,33048.82728784632,0,0
