Address,AmountToAirdrop,AmountEarned,AmountClaimed,AmountPendingClaim
0x258d77ad7f27185bd8f7e3b024cd075a9fa576b0,2956.9493150483513,6602.929315048352,3645.98,0
0xac1513a6c4c3e74cb0c1f77c8cbbbf22a2400e33,669486.1109622843,1330015.3109622842,641521.17,19008.03
0x5be4cb2f7b2c8ab1b0aae6cf5aa4a1cc398aeb6d,3714.2393826069583,7503.439382606958,3789.2,0
0xc7d35c4c06d54bee556228032e40e9501a6bee81,211.4276458936494,337.9976458936494,126.57,0
0x8949c6362db675d7f96691b254832371bb137001,9184.892391571464,18822.412391571466,9637.519999999999,0
0x7d14ce8356680f950db8fde7c62b2c152428bad6,53271.84315052872,101458.45315052872,47672.7,513.91
0x48ef8acb0faa379b0ffa10d3e1aadc791f37cbc7,12434.663508831713,19965.613508831713,7530.95,0
0xbf331a476e2e31f8fe0aac6a15db0e873a2249b7,3883.6765158217772,8074.956515821777,3720,471.28
0x01506ac9b32feb18b884cf544806a29328ae1f6d,40298.08923216236,67054.06923216236,26755.98,0
0x73eb7a4756ef34b903d8f0d320138fa4f2e4ec5b,41005.38110810369,80593.87110810369,39588.49,0
0xe7aebc9313a2a44a8042fd379eaa202a82eabcec,9404.999895045225,18888.979895045228,0,9483.98
0x371b4e9048219baa189afb5ee9531b5b8cf60c64,48935.25231619981,98675.41231619981,49740.16,0
0x9aaa88585e0fd4d3ce4d18fce1c238a84a4df5a3,28689.922054311202,58911.222054311205,30221.3,0
0x231b7a3b4379e1e6a20b7f630733356c93ff0a8d,13180.041361166484,21704.661361166487,8524.62,0
0xfe02733936a82f2e8e2aa63c165b45b640468cb7,2853.6168054647337,6068.706805464733,3215.09,0
0xa5c7b8811aefa3bb14d406f7d4665a4041f1f7d7,96523.62530876326,195771.36530876326,54732.21,44515.53
0xee611b17e811845c4d5bb4ff39bb90f25195ea37,8138.940688276002,16521.150688276,6779.73,1602.48
0xccca92bc5b394b28587c217aebd37a75b2935f36,2435.904031293937,5197.564031293937,2761.6600000000003,0
0xf91a4b731c8dea1b2802edc6d9560b41969ca8e1,364.5096101501088,744.7496101501088,374.61,5.63
0xf1baa70d16e2d0aeb905ccc27a6bca108c04be98,6362.230759202721,13212.30075920272,6850.07,0
0x8c3de974d92d0bf15387eff82d68bf7223fcd6f4,141432.0038372159,296555.2638372159,155123.26,0
0x36bd14eaf211d65164e1e0a2eab5c98b4b734875,23533.252670263097,48212.872670263096,0,24679.62
0x60fa9af30aecfc7d27d093a4160174ef94c50d2c,7899.581797937167,16228.131797937167,8328.55,0
0xa78d59f05acf567e60f70b8bdae5c88825c5b3c1,751.9631090036379,1698.163109003638,946.2,0
0x9f81bfbc8d7c1bc0496e45ddc744da78ca8e1a6b,20189.25355013126,40562.873550131255,20373.620000000003,0
0x1ce7c4930550677b6578c76107e44db403961002,3832.1913225132403,6141.57132251324,2309.3799999999997,0
0xe90098d3277ab33ebe6af3bcb24eb15fa62599fa,23370.59267947269,45859.43267947269,22488.84,0
0x93cf0a22a26895650a8aae960bf85a01ec6a551c,17544.639190101723,32116.569190101724,14571.93,0
0x0554319609b5a5451ff893ba89887c16e1d8ed63,22526.91353539782,44422.073535397816,21895.16,0
0xb9aa4142f60ae21786511dcf2909681e312e30a2,41674.23684314332,82163.58684314332,40489.35,0
0xdc784a9b0222747c79187dc04cc42024f61da41e,19402.79111473545,38364.18111473545,18961.39,0
0x5193abb7d6a19401791e53d19448d07014323ffa,27.02428841952052,55.16428841952052,28.14,0
0x1d652ddc63152e9099e6802e7308d0b0b74b3fea,18993.28681860096,37612.12681860096,0,18618.84
0x53c8751ea2822ed55b5d96a8f09ecae2fc5f5639,1584.6909460761756,3140.350946076175,0,1555.66
0xc5604e6125ae5d862c08e2605187467fb98e03eb,165.90244180383732,326.53244180383734,0,160.63
0x193a2fe14cc97f3a0feb6880d7f0a94122eff72b,3401.903624091735,6665.033624091735,3171.5499999999997,91.58
0x222546aea0195205fcb9314e52e97f533f2f0a8b,1100.8671700041157,1855.9771700041158,755.11,0
0x5e225490e47249f364fa20e68febddb3f74b297f,7043.865062802443,13372.055062802443,6328.19,0
0x63f660dd40436394377452613c165c51cdbd4de6,5352.808742507901,10248.508742507902,4895.7,0
0x035f4a089e99bb14fa010a6ce80e9640e1dd01fc,11382.336354451758,21498.44635445176,10116.11,0
0x64fda6334eb6eb162646b81e837f1686bb700cb6,26572.305685207088,50362.49568520709,0,23790.19
0x5f4144183d8d935781c19f18d27a226df242f5f7,2233.9868055323823,3695.836805532382,1461.85,0
0x8cbf96319b3c56d50a7c82efb6d3c46bd6f889ba,11.112051962447985,23.172051962447984,12.06,0
0x248bf13aa779c4c9822df233d18607147d348473,84.33898605457951,145.8289860545795,61.49,0
0xddf055dba057f2d4d5c1e6c40b786de18b0f5d25,564.880913764348,962.5809137643481,378.76,18.94
0x54c6adea5d5f8613c1f43b854db77cc5ffa7e583,4503.468108372987,8612.398108372989,4108.93,0
0x9a716cd00513be892250ca3aeaecfec8417a7ee8,1361.7643004141605,2806.1843004141606,0,1444.4199999999998
0x61505ce01302e64c4b72094ce1c03770bd3b0a97,52068.855467072965,113070.78546707296,61001.93,0
0x3acc73a5e87c24cde92c69a52a9db9f5ee55294b,12.846963499243083,19.916963499243085,0,7.07
